name,gender
Kuntal,F
Kuntala,F
Kunti,F
Kurangi,F
Kurinji,F
Kushala,F
Kusum,F
Kusuma,F
Kusumanjali,F
Kusumavati,F
Kusumita,F
Kusumlata,F
Kuvalai,F
Kuvira,F
Kuyil,F
Kuyilsai,F
Labangalata,F
Labha,F
Laboni,F
Labuki,F
Ladhi,F
Ladli,F
Laghima,F
Laghuvi,F
Lajita,F
Lajja,F
Lajjawati,F
Lajvanti,F
Lajvati,F
Lajwanti,F
Lajwati,F
Lakashokavinashini,F
Lakhi,F
Laksha,F
Lakshaki,F
Lakshana,F
Lakshita,F
Lakshmi,F
Lakshmika,F
Lakshmishree,F
Lalamani,F
Lalan,F
Lalana,F
Lalasa,F
Lali,F
Lalima,F
Lalita,F
Lalitamohana,F
Laranya,F
Larisa,F
Lasaki,F
Lasya,F
Lata,F
Latakara,F
Latangi,F
Latika,F
Lavali,F
Lavangi,F
Lavani,F
Lavanya,F
Lavenia,F
Laxmi,F
Laxmitha,F
Laya,F
Leela,F
Leelamayee,F
Leelavati,F
Lekha,F
Lekisha,F
Lekshana,F
Lenisha,F
Leora,F
Libni,F
Likhitha,F
Lilavarti,F
Lilavati,F
Lilly,F
Lily,F
Lipi,F
Lipika,F
Lishitha,F
Lochana,F
Lohini,F
Lohita,F
Lokajanani,F
Lokamatri,F
Lokini,F
Lola,F
Lolita,F
Lona,F
Lopa,F
Lopamudra,F
Loshini,F
Loukya,F
Lucia,F
Lumbika,F
Madhavi,F
Madhavilata,F
Madhubala,F
Madhuchanda,F
Madhuchhanda,F
Madhuja,F
Madhuksara,F
Madhul,F
Madhula,F
Madhulata,F
Madhulekha,F
Madhulika,F
Madhumalati,F
Madhumathi,F
Madhumati,F
Madhumita,F
Madhumitha,F
Madhunisha,F
Madhupriya,F
Madhura,F
Madhuri,F
Madhurima,F
Madhushri,F
Madhuvanthi,F
Madina,F
Madira,F
Madirakshi,F
Madri,F
Madura,F
Magadhi,F
Magana,F
Magathi,F
Mageshwari,F
Maghi,F
Mahabhadra,F
Mahadevi,F
Mahaganga,F
Mahagauri,F
Mahajabeen,F
Mahakali,F
Mahakanta,F
Mahalakshmi,F
Mahamaya,F
Mahasri,F
Mahasweta,F
Mahati,F
Maheshi,F
Maheshwari,F
Mahi,F
Mahijuba,F
Mahika,F
Mahima,F
Mahita,F
Mahitha,F
Mahiya,F
Mahua,F
Mahubala,F
Maina,F
Maithili,F
Maitra,F
Maitreyi,F
Maitri,F
Maitry,F
Makali,F
Makshi,F
Mala,F
Malarvili,F
Malashree,F
Malati,F
Malavika,F
Malaya,F
Maliha,F
Malika,F
Malina,F
Malini,F
Malka,F
Malli,F
Malliga,F
Mallika,F
Malti,F
Malvika,F
Mamata,F
Mamatha,F
Mamta,F
Mana,F
Manadha,F
Manaka,F
Manal,F
Manali,F
Manana,F
Mananya,F
Manasa,F
Manasi,F
Manasika,F
Manasvi,F
Manasvini,F
Manavi,F
Manayi,F
Manda,F
Mandakini,F
Mandakranta,F
Mandana,F
Mandara,F
Mandarmalika,F
Mandavi,F
Mandeepa,F
Mandira,F
Manditha,F
Mandodari,F
Mandra,F
Mangai,F
Mangala,F
Mangalya,F
Manideepa,F
Manika,F
Manikuntala,F
Manimala,F
Manimekhala,F
Manini,F
Maniratna,F
Manisha,F
Manishika,F
Manisi,F
Manisila,F
Manisitha,F
Manitha,F
Maniya,F
Manjari,F
Manjira,F
Manjistha,F
Manju,F
Manjubala,F
Manjula,F
Manjulika,F
Manjusha,F
Manjushri,F
Manjusri,F
Manjyot,F
Manmayi,F
Manna,F
Manorama,F
Manoranjana,F
Manoritha,F
Manshree,F
Mansi,F
Manthika,F
Mantra,F
Manushi,F
Manushri,F
Manya,F
Marala,F
Mareesha,F
Margi,F
Marichi,F
Marichika,F
Marisa,F
Marsha,F
Marudham,F
Marushika,F
Marya,F
Masara,F
Masilmani,F
Masum,F
Matangi,F
Matisha,F
Matra,F
Matrika,F
Mauli,F
Mausam,F
Mausami,F
Maushmi,F
Mausumi,F
Maya,F
Mayil,F
Mayra,F
Mayukhi,F
Mayura,F
Mayuri,F
Mayurika,F
Medh,F
Medha,F
Medhani,F
Medhavi,F
Medhya,F
Medini,F
Meehika,F
Meena,F
Meenakshi,F
Meenal,F
Meera,F
Megan,F
Megha,F
Meghamala,F
Meghana,F
Meghavini,F
Mehak,F
Mehal,F
Mehbooba,F
Meher,F
Mehrunissa,F
Mehuli,F
Mekhala,F
Mela,F
Mena,F
Menaha,F
Menaja,F
Menaka,F
Menitha,F
Menmoli,F
Merwin,F
Mihika,F
Mihira,F
Milana,F
Mili,F
Milika,F
Mina,F
Minakshi,F
Minal,F
Minati,F
Minnoli,F
Mira,F
Miraya,F
Mirgaksini,F
Mirium,F
Misha,F
Mishaye,F
Mishita,F
